year,team,PRFa,PHRFa,PNHRFa
2007,Philadelphia,1.02423259,1.127149102,0.98795934
2007,Pittsburgh,0.983409291,0.920369712,1.006436419
2007,San Diego,0.889681222,0.872847947,0.947396353
2007,San Francisco,1.000430881,0.922494773,1.018286802
2007,Seattle,0.977051831,0.974611595,0.989036883
2007,St. Louis,0.967786834,0.890038314,1.002085907
2007,Tampa Bay,0.970709508,0.979477233,0.983161162
2007,Texas,1.017643074,1.046262896,1.002121691
2007,Toronto,0.9863829,1.06512172,0.974438335
2007,Washington,0.944488996,0.865526847,0.990679743
2008,Anaheim,0.996129545,0.967101442,1.005007913
2008,Arizona,1.06185181,1.048314514,1.033605046
2008,Atlanta,1,0.987450629,1.003002558
2008,Baltimore,1.022813522,1.13322884,0.984834173
2008,Boston,1.039827586,0.928773318,1.045489823
2008,Chicago Cubs,1.051952642,1.072490911,1.020837857
2008,Chicago Sox,1.052625338,1.162284317,1.000036314
2008,Cincinnati,1.030610741,1.112889089,0.995580163
2008,Cleveland,0.98648398,0.926166329,1.007665852
2008,Colorado,1.084778351,1.127406674,1.031673037
2008,Detroit,1.020759693,1.032439705,1.007552575
2008,Houston,0.988694371,1.056860715,0.977766073
2008,Kansas City,1.001034255,0.922270909,1.019205874
2008,Los Angeles,0.955416112,0.972888556,0.973161169
2008,Miami,0.9994523,0.952247454,1.010977071
2008,Milwaukee,0.980765025,0.996455044,0.986532198
2008,Minnesota,0.959834346,0.948004107,0.98260055
2008,NY Mets,0.967755061,1.00470525,0.974703616
2008,NY Yankees,1.009228606,1.012081047,1.003923109
2008,Oakland,0.962704628,0.950496786,0.984151963
2008,Philadelphia,1.018561458,1.052538413,1.001138564
2008,Pittsburgh,0.973993057,0.933598257,0.996670339
2008,San Diego,0.903197248,0.890344828,0.953601914
2008,San Francisco,1.00994562,0.951157213,1.018881365
2008,Seattle,0.960952175,0.943945089,0.984430094
2008,St. Louis,0.96987195,0.925307751,0.995604736
2008,Tampa Bay,0.97178532,0.962639811,0.988012243
